tau,acf
0.00020000000073925456,0.9921626529998234
0.0004000000014785091,1.0873841194117593
0.0006000000022177637,1.0849740091299107
0.0008000000029570182,1.0848239876211812
0.001000000003696273,1.0835507992823756
0.0012000000044355274,1.0807478759896643
0.0014000000051747818,1.079953727778557
0.0016000000059140365,1.0824351498169489
0.0018000000066532911,1.0779790893561059
0.002000000007392546,1.0806957733696743
0.0022000000081318,1.0768187354198637
0.0024000000088710547,1.076237493906519
0.0026000000096103094,1.0758776754068073
0.0028000000103495636,1.0743383534926634
0.0030000000110888183,1.0763312383824999
0.003200000011828073,1.0728725620505895
0.0036000000133065823,1.0726635303713674
0.004000000014785092,1.0711188795822686
0.0044000000162636,1.070093805034238
0.0048000000177421094,1.068178696394043
0.005200000019220619,1.066639900420908
0.005600000020699127,1.0651027849825097
0.006000000022177637,1.064848881324495
0.006400000023656146,1.0643917354600487
0.007200000026613165,1.0627256166106882
0.008000000029570183,1.061560094764734
0.0088000000325272,1.0588447099656855
0.009600000035484219,1.0586789677492445
0.010400000038441238,1.056372629934708
0.011200000041398255,1.0559781951793399
0.012000000044355273,1.0550722517714286
0.012800000047312292,1.0530139501295555
0.01440000005322633,1.0516782941816996
0.016000000059140367,1.04926311660567
0.0176000000650544,1.0480373734845025
0.019200000070968438,1.045954463244355
0.020800000076882475,1.044368389734277
0.02240000008279651,1.0430779905026193
0.024000000088710546,1.0422780261200133
0.025600000094624584,1.0406247879026385
0.02880000010645266,1.0383296509443247
0.03200000011828073,1.0363647016473536
0.0352000001301088,1.0342132932091102
0.038400000141936876,1.0327214130538507
0.04160000015376495,1.0314212326821899
0.04480000016559302,1.0294473170524607
0.04800000017742109,1.028563551744696
0.05120000018924917,1.0271778232946622
0.05760000021290532,1.0253127190757616
0.06400000023656147,1.0233973516613717
0.0704000002602176,1.0217688081800842
0.07680000028387375,1.0204768078118627
0.0832000003075299,1.019719500021558
0.08960000033118604,1.0185690143232464
0.09600000035484219,1.0173391387864308
0.10240000037849833,1.0166927930548126
0.11520000042581063,1.0149345617704797
0.12800000047312293,1.0137092141843271
0.1408000005204352,1.0125983065281967
0.1536000005677475,1.0117117157145898
0.1664000006150598,1.0107500420501918
0.17920000066237207,1.0101434600831196
0.19200000070968437,1.0094004975376414
0.20480000075699667,1.0089233209412765
0.23040000085162127,1.0079637091488636
0.25600000094624586,1.0073280963034164
0.2816000010408704,1.006408643122632
0.307200001135495,1.0061916529850907
0.3328000012301196,1.0056279033938038
0.35840000132474414,1.0052122424612293
0.38400000141936874,1.0049404730214697
0.40960000151399334,1.0046933611700646
0.46080000170324253,1.0041709362910445
0.5120000018924917,1.003646227899456
0.5632000020817408,1.0033609549835594
0.61440000227099,1.0030899100014756
0.6656000024602392,1.0029901224176638
0.7168000026494883,1.0027213107008766
0.7680000028387375,1.0025296287405243
0.8192000030279867,1.002522043753856
0.9216000034064851,1.0020290439791653
1.0240000037849835,1.0015005819041973
1.1264000041634816,1.00148560269643
1.22880000454198,1.001322565227614
1.3312000049204784,1.0012672665026967
1.4336000052989766,1.0011189931835662
1.536000005677475,1.000833330033371
1.6384000060559734,1.000690421318596
1.8432000068129701,1.0007154859468073
2.048000007569967,1.0007599864077672
2.2528000083269633,1.0007924186411765
2.45760000908396,1.0005863435748394
2.662400009840957,1.0006080473506973
2.867200010597953,1.00067359832514
3.07200001135495,1.0006994717852593
3.2768000121119467,1.0003811499679083
3.6864000136259403,1.0004276017756673
4.096000015139934,1.0004246200331437
4.5056000166539265,1.0002235071597159
4.91520001816792,1.0001055373828323
5.324800019681914,1.0001653905833554
5.734400021195906,1.0001558150699592
6.1440000227099,0.999998433729188
6.553600024223893,1.0000386443894052
7.3728000272518806,1.0000809214219688
8.192000030279868,1.000187698254768
9.011200033307853,1.000140618005253
9.83040003633584,1.00002088882669
10.649600039363827,1.0000980593700868
11.468800042391813,0.9999981772979637
12.2880000454198,0.9999546229243765
13.107200048447787,1.0000190156120532
14.745600054503761,1.000100825418617
16.384000060559735,0.9999892746540829
18.022400066615706,0.9999237855656025
19.66080007267168,0.9999489423821133
21.299200078727655,1.0000811405796979
22.937600084783625,1.0000267969309076
24.5760000908396,1.0001100232143842
26.214400096895574,0.9999960264152281
29.491200109007522,0.9999570241709974
32.76800012111947,1.000068617862621
36.04480013323141,1.000096740921204
39.32160014534336,1.0001208026125874
42.59840015745531,1.0001313748218208
45.87520016956725,1.0000290337062243
49.1520001816792,1.0000221679888335
52.42880019379115,1.0000706872463085
58.982400218015044,1.0000509041044785
65.53600024223894,1.0000383538313784
72.08960026646282,0.9999938763668434
78.64320029068672,1.000011488133882
85.19680031491062,0.999969086545951
91.7504003391345,1.0000009654718676
98.3040003633584,1.000097684951881
104.8576003875823,0.999924585388679
117.96480043603009,0.9999725261739891
131.07200048447788,1.0000041770930022
144.17920053292565,1.000002576271695
157.28640058137344,0.9999538500924585
170.39360062982124,0.9999732207870634
183.500800678269,1.0000425022392792
196.6080007267168,1.0000157552694067
209.7152007751646,1.0000192929293341
235.92960087206018,1.0000002955768426
262.14400096895577,1.0000120388673417
288.3584010658513,0.9999942319310956
314.5728011627469,0.9999784946801865
340.7872012596425,0.9999655678039148
367.001601356538,0.9999591972530574
393.2160014534336,0.9999965645512772
419.4304015503292,1.000012974285459
471.85920174412036,1.0000057134331677
524.2880019379115,1.0000032667635828
576.7168021317026,1.0000239020915715
629.1456023254938,1.000006653407373
681.574402519285,1.0000255991423934
734.003202713076,1.00000701672473
786.4320029068672,0.9999986686016346
838.8608031006584,0.9999947181438859
943.7184034882407,1.000015008487165
1048.576003875823,0.9999876408098205
1153.4336042634052,1.000007535829748
1258.2912046509875,1.0000092580197228
1363.14880503857,1.000018318789015
1468.006405426152,1.0000098293929638
1572.8640058137344,0.9999879413790904
1677.7216062013167,0.9999995040766892
1887.4368069764814,0.9999972788942191
2097.152007751646,1.0000176492383397
2306.8672085268104,1.0000120814746247
2516.582409301975,0.999998016614827
2726.29761007714,0.9999948117612056
2936.012810852304,1.0000002494695581
3145.7280116274687,0.9999995626864331
3355.4432124026334,1.0000058482549952
3774.873613952963,1.0000042755236822
4194.304015503292,1.000003815399628
4613.734417053621,1.0000069183673552
5033.16481860395,0.9999917884084367
5452.59522015428,0.9999998572138102
5872.025621704608,1.0000001133206444
6291.4560232549375,1.0000106206702022
6710.886424805267,1.0000022406494482
7549.747227905926,1.0000040055585662
8388.608031006584,1.0000019049411981
9227.468834107241,0.9999951986493545
10066.3296372079,1.0000017941355375
10905.19044030856,1.000005199415388
11744.051243409216,0.9999957235786716
12582.912046509875,1.0000014939129536
13421.772849610534,1.0000036063990083
15099.494455811851,0.9999920672539931
16777.21606201317,0.9999929363922216
18454.937668214483,0.9999901943787112
20132.6592744158,0.9999833136177046
21810.38088061712,0.9999962154192936
23488.102486818432,0.9999977428422661
25165.82409301975,1.0000099928951842
26843.545699221067,0.9999735323311185
